交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,饭点课程_早,饭点课程_午,饭点课程_晚
15.0,阳光川蜀源烤鱼,2022-10-31,12:12,1,0,10,747.9,760.5,94,8,1,1667189520,0,0,0
9.77,友来小猪憨尼麻辣烫,2022-10-30,18:04,7,1,8,753.0,765.8,53,3,0,1667124240,0,0,0
17.4,紫丁香餐吧机器人收银组,2022-10-28,17:37,5,0,-1,760.5,773.9,69,0,0,1666949820,1,1,1
16.0,学苑食堂副食三组,2022-10-28,11:48,5,0,6,761.6,774.7,39,2,0,1666928880,1,1,1
3.2,学苑食堂副食三组,2022-10-28,7:58,5,0,-1,762.1,775.5,80,1,0,1666915080,1,1,1
43.0,紫丁香餐吧主食一组,2022-10-27,17:22,4,0,3,761.5,774.7,52,3,0,1666862520,1,1,1
6.0,紫丁香餐吧主食一组,2022-10-27,11:44,4,0,5,761.6,774.7,49,6,0,1666842240,1,1,1
11.4,紫丁香餐吧机器人收银组,2022-10-27,11:40,4,0,5,761.6,774.7,49,6,0,1666842000,1,1,1
15.0,民族餐厅金家店,2022-10-26,17:24,3,0,4,755.1,768.1,87,7,0,1666776240,0,1,0
12.6,紫丁香餐吧机器人收银组,2022-10-26,11:52,3,0,8,750.7,763.5,93,5,1,1666756320,0,1,0
14.21,美食林小猪憨尼麻辣烫,2022-10-25,17:30,2,0,10,750.1,762.8,54,3,0,1666690200,1,0,0
13.0,民族餐厅铁板料理,2022-10-25,11:37,2,0,13,751.7,764.3,44,7,0,1666669020,1,0,0
2.5,学苑食堂副食三组,2022-10-25,7:58,2,0,3,754.2,767.3,65,5,0,1666655880,1,0,0
13.0,学苑食堂香恋香拌砂锅,2022-10-24,17:18,1,0,5,755.9,768.9,45,2,0,1666603080,0,0,1
30.0,阳光川蜀源烤鱼,2022-10-24,11:37,1,0,8,756.0,768.9,40,2,0,1666582620,0,0,1
13.8,阳光小是小简餐,2022-10-23,17:22,7,1,5,753.6,766.6,49,5,0,1666516920,0,0,0
18.9,紫丁香餐吧机器人收银组,2022-10-23,11:29,7,1,7,752.9,765.8,61,5,0,1666495740,0,0,0
