,学工号,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,平均风速,特殊天象
120,2021****86,3.5,2023/03/10 07:43,百味佳副食一组,2023-03-10,07:43,0,11,7,
121,2021****86,18.0,2023/03/09 17:14,学苑食堂副食三组,2023-03-09,17:14,0,2,1,
122,2021****86,12.0,2023/03/09 11:33,美食林90后串炒饭,2023-03-09,11:33,0,2,1,
123,2021****86,3.2,2023/03/09 07:35,百味佳副食一组,2023-03-09,07:35,0,2,1,
124,2021****86,14.0,2023/03/08 17:34,学院食堂陕西名小吃,2023-03-08,17:34,0,-1,3,
125,2021****86,17.2,2023/03/08 11:44,百味佳副食一组,2023-03-08,11:44,0,-1,3,
126,2021****86,12.0,2023/03/07 17:36,民族餐厅金家店,2023-03-07,17:36,0,1,6,
127,2021****86,12.0,2023/03/07 11:39,美食林川蜀源烤鱼,2023-03-07,11:39,0,1,6,
128,2021****86,4.6,2023/03/07 07:52,百味佳副食一组,2023-03-07,07:52,0,1,6,
129,2021****86,12.0,2023/03/06 18:14,学苑食堂铁锅焖面,2023-03-06,18:14,0,3,2,
130,2021****86,12.0,2023/03/06 11:33,美食林川蜀源烤鱼,2023-03-06,11:33,0,3,2,
131,2021****86,2.85,2023/03/06 09:04,百味佳副食一组,2023-03-06,09:04,0,3,2,
132,2021****86,12.0,2023/03/05 17:33,学苑食堂香恋香拌砂锅,2023-03-05,17:33,1,8,6,
133,2021****86,12.0,2023/03/05 11:52,美食林川蜀源烤鱼,2023-03-05,11:52,1,8,6,
134,2021****86,3.5,2023/03/05 09:02,百味佳副食一组,2023-03-05,09:02,1,8,6,
135,2021****86,9.0,2023/03/04 17:50,美食林老上客砂锅,2023-03-04,17:50,1,2,3,
136,2021****86,16.0,2023/03/04 11:20,阳光广式猪脚饭,2023-03-04,11:20,1,2,3,
137,2021****86,4.0,2023/03/04 08:15,百味佳副食一组,2023-03-04,08:15,1,2,3,
138,2021****86,11.0,2023/03/03 17:14,美食林90后串炒饭,2023-03-03,17:14,0,-2,2,
139,2021****86,10.0,2023/03/03 11:50,民族餐厅山西饸饹面,2023-03-03,11:50,0,-2,2,
140,2021****86,3.6,2023/03/03 07:35,百味佳副食一组,2023-03-03,07:35,0,-2,2,
141,2021****86,12.0,2023/03/02 17:53,美食林90后串炒饭,2023-03-02,17:53,0,-1,4,
142,2021****86,18.0,2023/03/02 11:38,学苑食堂副食三组,2023-03-02,11:38,0,-1,4,
143,2021****86,3.6,2023/03/02 07:31,百味佳副食一组,2023-03-02,07:31,0,-1,4,
144,2021****86,10.0,2023/03/01 17:29,美食林阿咪酱骨扒肉,2023-03-01,17:29,0,-7,5,
145,2021****86,15.799999999999999,2023/03/01 11:51,百味佳副食一组,2023-03-01,11:51,0,-7,5,
146,2021****86,15.0,2023/02/28 17:29,美食林真牛铁板,2023-02-28,17:29,0,-2,2,
147,2021****86,23.5,2023/02/28 11:53,百味佳副食一组,2023-02-28,11:53,0,-2,2,
148,2021****86,13.02,2023/02/27 17:33,美食林小猪憨尼麻辣烫,2023-02-27,17:33,0,6,6,沙
149,2021****86,12.2,2023/02/27 11:59,百味佳副食一组,2023-02-27,11:59,0,6,6,沙
150,2021****86,3.05,2023/02/27 08:52,百味佳主食二组,2023-02-27,08:52,0,6,6,沙
151,2021****86,10.0,2023/02/26 17:28,民族餐厅山西饸饹面,2023-02-26,17:28,1,1,4,
152,2021****86,17.299999999999997,2023/02/26 11:50,百味佳副食一组,2023-02-26,11:50,1,1,4,
153,2021****86,14.06,2023/02/25 17:43,美食林小猪憨尼麻辣烫,2023-02-25,17:43,1,-7,2,
154,2021****86,12.0,2023/02/25 11:41,友来朝鲜风味,2023-02-25,11:41,1,-7,2,
155,2021****86,4.1,2023/02/25 08:05,百味佳副食一组,2023-02-25,08:05,1,-7,2,
156,2021****86,13.0,2023/02/24 17:31,民族餐厅铁板料理,2023-02-24,17:31,0,-9,3,
157,2021****86,12.4,2023/02/24 11:52,紫丁香餐吧机器人收银组,2023-02-24,11:52,0,-9,3,
158,2021****86,4.1,2023/02/24 07:42,百味佳副食一组,2023-02-24,07:42,0,-9,3,
159,2021****86,12.0,2023/02/23 18:23,学苑食堂铁锅焖面,2023-02-23,18:23,0,-8,2,
160,2021****86,16.0,2023/02/23 11:35,阳光广式猪脚饭,2023-02-23,11:35,0,-8,2,
161,2021****86,4.1,2023/02/23 07:34,百味佳副食一组,2023-02-23,07:34,0,-8,2,
162,2021****86,18.0,2023/02/22 17:25,美食林90后串炒饭,2023-02-22,17:25,0,-4,3,
163,2021****86,15.299999999999999,2023/02/22 11:49,百味佳副食一组,2023-02-22,11:49,0,-4,3,
164,2021****86,11.0,2023/02/21 17:31,美食林老上客砂锅,2023-02-21,17:31,0,-12,2,
165,2021****86,16.5,2023/02/21 11:50,百味佳副食一组,2023-02-21,11:50,0,-12,2,
166,2021****86,11.5,2023/02/20 17:31,美食林真牛铁板,2023-02-20,17:31,0,-12,3,
167,2021****86,23.349999999999998,2023/02/20 11:29,百味佳副食一组,2023-02-20,11:29,0,-12,3,
